year_month_day,count
2010-12-17,549697
2010-12-18,536073
2010-12-19,475509
2010-12-20,464187
2010-12-21,487812
2010-12-22,485123
2010-12-23,459871
2010-12-24,361296
2010-12-25,226051
2010-12-26,193529
2010-12-27,72025
2010-12-28,247546
2010-12-29,332715
2010-12-30,372902
2010-12-31,430727
2011-01-01,183031
2011-01-02,158706
2011-01-03,374927
2011-01-04,407012
2011-01-05,439070
2011-01-06,476390
2011-01-07,486988
2011-01-08,500272
2011-01-09,451117
2011-01-10,449946
2011-01-11,471811
2011-01-12,361127
2011-01-13,488565
2011-01-14,512868
2011-01-15,485503
2011-01-16,446699
2011-01-17,386391
2011-01-18,442217
2011-01-19,477235
2011-01-20,501964
2011-01-21,504589
2011-01-22,541375
2011-01-23,469484
2011-01-24,443065
2011-01-25,451381
2011-01-26,410620
2011-01-27,315655
2011-01-28,450996
2011-01-29,508017
2011-01-30,443204
2011-01-31,424772
2011-02-01,450558
2011-02-02,444931
2011-02-03,497558
2011-02-04,523507
2011-02-05,543523
2011-02-06,451016
2011-02-07,442577
2011-02-08,495221
2011-02-09,522735
2011-02-10,541334
2011-02-11,568193
2011-02-12,592896
2011-02-13,494049
2011-02-14,499431
2011-02-15,534436
2011-02-16,518097
2011-02-17,520081
2011-02-18,536865
2011-02-19,573781
2011-02-20,481920
2011-02-21,416751
2011-02-22,484791
2011-02-23,506407
2011-02-24,526787
2011-02-25,565914
2011-02-26,552910
2011-02-27,461969
2011-02-28,454571
2011-03-01,498985
2011-03-02,531705
2011-03-03,555658
2011-03-04,576062
2011-03-05,562352
2011-03-06,502110
2011-03-07,479212
2011-03-08,511207
2011-03-09,537897
2011-03-10,541403
2011-03-11,557379
2011-03-12,565030
2011-03-13,464156
2011-03-14,459835
2011-03-15,507174
2011-03-16,520115
2011-03-17,514167
2011-03-18,574200
2011-03-19,568994
2011-03-20,485327
2011-03-21,456000
2011-03-22,483775
2011-03-23,522281
2011-03-24,529221
2011-03-25,557701
2011-03-26,558897
2011-03-27,466137
2011-03-28,443179
2011-03-29,490832
2011-03-30,504851
2011-03-31,540509
2011-04-01,288633
2011-04-02,278780
2011-04-03,240633
2011-04-04,458737
2011-04-05,525459
2011-04-06,515766
2011-04-07,541474
2011-04-08,564808
2011-04-09,548386
2011-04-10,474893
2011-04-11,467738
2011-04-12,524355
2011-04-13,531832
2011-04-14,532820
2011-04-15,571983
2011-04-16,576321
2011-04-17,458907
2011-04-18,456631
2011-04-19,496251
2011-04-20,517462
2011-04-21,534263
2011-04-22,542235
2011-04-23,513729
2011-04-24,440867
2011-04-25,454325
2011-04-26,503392
2011-04-27,513133
2011-04-28,540910
2011-04-29,562436
2011-04-30,541814
2011-05-01,473899
2011-05-02,479236
2011-05-03,503275
2011-05-04,539514
2011-05-05,541380
2011-05-06,561132
2011-05-07,528998
2011-05-08,448546
2011-05-09,460656
2011-05-10,509305
2011-05-11,520892
2011-05-12,539772
2011-05-13,562697
2011-05-14,557750
2011-05-15,481463
2011-05-16,493934
2011-05-17,532811
2011-05-18,519183
2011-05-19,539842
2011-05-20,554476
2011-05-21,539651
2011-05-22,484602
2011-05-23,474504
2011-05-24,510123
2011-05-25,518432
2011-05-26,520040
2011-05-27,508026
2011-05-28,443284
2011-05-29,393415
2011-05-30,351394
2011-05-31,462636
2011-06-01,514961
2011-06-02,525586
2011-06-03,537879
2011-06-04,521288
2011-06-05,447307
2011-06-06,477033
2011-06-07,521681
2011-06-08,543169
2011-06-09,545633
2011-06-10,542323
2011-06-11,536703
2011-06-12,434022
2011-06-13,466033
2011-06-14,498734
2011-06-15,513931
2011-06-16,536628
2011-06-17,529061
2011-06-18,517492
2011-06-19,442999
2011-06-20,457009
2011-06-21,496175
